rail	voie ferrée	
trafic	circulation	
handicap	obstacle	
trust	entreprise	
fuel	fioul	
cargo	navire de charge	
soft law	loi non contraignante	
lobby	groupe de pression	
week-end	fin de semaine	
score	résultat	
pléthore	surabondance	
financial stability	stabilité financière	
firme	entreprise	
interview	entrevue	
mix	mixage	
hot spots	points nevralgiques	
boycott	boycottage	
timing	temps	
lobbying	travail d'influence	
take-over	reprise	
leadership	direction	
crack	débacle	
lifting	lissage	
new look	nouveau souffle	
fax	télécopieur	
marketing	mercatique	
leader	meneur	
business	commerce	
standard	norme	
label	étiquette	
capacity building	renforcer les capacités	
deal	accord	
deal	accord	
gin	genièvre	
jumping	saut	
cocktail	mélange	
club	cercle	
caudillo	leader	
boom	expansion	
slogan	formule	
shopping	achats	
audit	vérification des comptes	
doper	stimuler	
early warning	alerte précoce	
cash management	gestion des liquidités	
leitmotiv	thème	
fair-play	fairplay	
feedback	retour d'information	
manager	chef d'entreprise	
superman	surhommes	
offshore	en mer	
ersatz	succédané	
gang	bande	
barmaid	serveuse de bar	
light	léger	
mild	doux	
overdose	surdose	
putsch	coup d'état	
badge	insigne	
ferry	navire	
kidnapper	enlever	
show	spectacle	
roll back	retour en arriére	
containment	confinement	
sprinter	sprinteur	
diesel	diésel	
fioul	mazout	
spot	au comptant	
hip	branché	
armada	multitude	
conscientiser	sensibiliser	
pull-over	chandail	
hall	vestibule	
magazine	revue	
interviewer	interroger	
set aside	de mise en réserve	
container	conteneur	
short sea shipping	transport maritime de courte distance	
mammouth	géants	
fan	admirateur	
briefing	aide-mémoire	
kidnapping	rapt	
drink driving	conduite en état d'ébriété	
pogrom	pogrome	
monitoring	surveillance	
stand by	veille	
data streaming	diffusion de données	
star wars	guerre des étoiles	
jogging	course à pied	
meeting	séance de réunion	
tramway	tram	
touron	nougat	
businessman	homme d'affaires	
gag	plaisanterie	
bulldog	bouledogue	
farm bill	projet de loi agricole	
lambda	ordinaires	
spam	pourriel	
paella	paélia	
tract	prospectus	
pudding	pouding	
sponsor	promoteur	
reporting	rapport	
sniper	tireur	
lobbies	groupes de pression	
full point	point final	
fitness	de mise en forme	
night-clubs	boites de nuit	
rave parties	soirées rave	
implémenter	mettre en oeuvre	
non-stop	ininterrompue	
European way of life	mode de vie européen	
shampooing	shampoing	
paddy	non décortiqué	
pipeline	oléoduc	
tee-shirt	t-shirt	
dealer	pourvoyeur	
blues	cafard	
cluster	regroupement	
campesinos	agriculteurs	
gay	homosexuel	
job	travail	
punch	ponch	
LED	DEL	
penalty	but de pénalité	
penalty	but de sanction	
match	partie	
weekend	fin de semaine	
addiction	dépendance	
sex-appeal	charme sensuel	
cockpit	cabine de pilotage	
webcam	cybercaméra	
staff	équipe	
coach	entraineur	
rush	ruée	
squatter	occuper	
macho	phallocrate	
SUV	VUS	
camarilla	coterie	
trader	opérateur financier	
yoghourt	yaourt	
brain drain	fuite des cerveaux	
brain gain	apport de cerveaux	
speed vote	vote accéléré	
corrida	tauromachie	
roadmap	feuille de route	
hinterland	arrière-pays	
cake	gâteau	
hacienda	propriété foncière	
best-seller	livre à grand succès	
hardware	équipement	
bluffer	tromper	
boss	chefs	
split screen	écran divisé	
doping	dopage	
business	affaire	
top	sommet	
label	étiquette	
bacon	lard	
toast	tranche de pain	
mail	courriel	
management	gestion	
consumérisme	surconsommation	
bar	comptoir	
gang	bande	
club	canne	
fan	admirateur	
ferry	bac	
cool	chouettes	
tank	char d'assaut	
overdose	surdose	
airbag	sac gonflable	
dealer	faire du commerce	
top	débardeur	
star	vedette	
courts de tennis	terrains de tennis	
barbecue	grillade	
flip	retournement	
interview	entretien	
email	courriel	
spot	site	
job	travail	
playlist	liste de lecture	
LED	DEL	
revolver	révolver	
hit	tube	
challenge	défi	
superstar	vedette	
show	émission	
reporter	journaliste	
feedback	rétroaction	
interviewer	interroger	
smartphone	téléphone intelligent	
skateboard	plance à roulettes	
copyright	droit d’auteur	
bachelor	baccalauréat	
fuel	fioul	
hacker	pirater	
geek	passionné	
mesquin	étriqué	
power shift	changements de pouvoir 	
boycott	boycottage	
yacht-club	club nautique	
yacht-club	club nautique	
streaming	diffusion en continu	
casting	distribution	
set	ensemble	
sponsors	financeurs	
panel	échantillon	
vintage	millésimée	
storytelling	récit	
firmware	micrologiciel	
underground	clandestin	
escalator	escalier mécanique	
bunker	abri	
container	conteneur	
sniper	tireur d'élite	
steward	hôte de l’air	
building	bâtiments	
businessman	homme d'affaires	
vibe	ambiance	
chewing-gum	gommes à mâcher	
malware	logiciels malveillants	
bad boy	mauvais garçon	
baby-sitter	nourrice	
mix	compilation	
scotch	ruban adhésif	
scotch	ruban adhésif	
sieste	somme	
establishment	ordre	
thread	fil de discussion	
monitoring	monitorage	
hardware	matériel	
sitcom	comédie de situation	
smiley	émoticône	
biopic	film biographique	
sex-appeal	séduction	
