film	pellicole	English
computer	calcolatore elettronico	English
ingaggiare	impegnare	French
smartphone	telefoni cellulari multimediali	English
camion	autocarro	French
performance	esibizioni teatrali	English
business	affari	English
USA	Stati Uniti d'America	English
star	stelle	English
bacon	pancetta affumicata	English
design	progettazione	English
album	raccolte musicali	German
online	in rete	English
meeting	riunioni	English
pigiama	pigiama	English
party	festa	English
gay	omosessuali	English
shock	trauma	English
software	programmi	English
stage	tirocinio	French
gang	banda di malviventi	English
flashback	ricordi	English
team	squadra	English
internet	nella rete di comunicazione	English
sport	attività fisiche	English
drink	bevanda	English
party	festa	English
boss	capo	English
graphic designer	grafico	
logo	marchio	English
standard	comuni	English
triple bottom line	tripla linea di fondo	
baby	amore	English
leader	capo	English
marketing	vendita	English
manager	amministratore	English
airbag	cuscino salvavita	English
app	applicazioni	English
club	circolo	English
hobby	passatempo	English
designer bike	bicicletta di design	
baseball	pallabase	English
spam	spazzatura	English
database	banca data	
account	conto	English
mainframe	sistema centrale	English
web	rete	English
Instant Messaging	messaggi istantanei	
query	richiesta	
database	banca dati	
click	pigiatura di tasti	English
query	richiesta	
weekend	fine settimana	English
hotel	albergo	French
chance	occasione	French
sexy	eccitante	English
bikini	due pezzi	French
radio	radioricevitore	French
set	gruppo	English
file	documento	English
clic	pigiare	English
bitmap	grafica raster	
menu	lista	French
festival	rassegna	English
blog	diario elettronico	English
mail	posta elettronica	
stress	sforuo	English
cocktail	bevanda	English
élite	alta società	French
stile	stile	French
bestseller	successi	English
timer	contaminuti	English
computer	calcolatore	English
top	top	English
robot	automa	French
sound	suono	English
killer	assassino	English
clacson	avvisatore elettroacustico	English
think tank	gruppo di esperti	
flash mob	riunione di gruppo improvvisata	
lord	signori	English
lobby	congrega	English
link	connessioni	English
privacy	intimità	English
picnic	scampagnate	French
tunnel	gallerie	English
jeans	jeans	English
T-shirt	maglietta	
pub	pub	English
slogan	motto	English
background	retroscena	English
pro capite	a testa	
cyborg	androidi	English
rock	rock	English
band	gruppo	
bijou	gioiello	
giardino	giardino	French
post	posizione	English
routine	quotidianità	French
speaker	portavoce	English
agribusiness	bioimpresa	English
email	posta elettronica	
password	chiave di accesso	English
app	applicazioni	English
tweet	cinguettii	
tag	codice identificativi	
pullman	corriere	
reclame	pubblicità	French
trust	monopolio	English
clan	gruppo	English
totem	capostipite	English
quantum	quanto	German
charter	privata	English
round	riprese	English
outsider	sfavoriti	English
troupe	truppa	French
partner	compagni	English
surplus	esubero	French
sandwich	panini	English
boutique	bottega	French
bombarda	bombarda	French
USA	Stati Uniti d'America	English
network	rete	
superstar	stelle	English
leader	capi	English
business	affari	English
marijuana	erba	English
casinò	casa da gioco	French
sponsor	finanziatori	English
flirtare	amoreggiare	English
gadget	gingilli	English
iPod	iPod	
GPS	sistema di posizionamento globale	
login	registrazione	English
mixare	mescolare	French
hotel	albergo	French
clip	filmato	English
magazine	rivista	English
eureka	evviva	Ancient Greek
