ungeniert	ohne Scham	1.41e-06	4.98e-06
prätentiös	aufschneiderisch	1.51e-07	0.0
renommiert	angesehen	9.12e-08	3.16e-05
zivilisierte	bürgerliche	6.61e-07	6.31e-06
validieren	bestätigen	1.82e-07	2.82e-05
UN-Organisation	UN-Verbands	2.98e-05	2.3e-06
DNA-Test	DNA-Probe	1.02e-05	6.73e-06
Homepage	Netzseite	3.89e-05	5.89e-08
retour	zurück	1.12e-06	0.000372
komplizierte	vertrackte	4.57e-06	1.51e-07
offshore	vor der Küste gelegenen	2.82e-06	7.8e-06
high	berauscht	3.63e-05	7.59e-07
Idee	Gedankens	0.000158	7.59e-07
kalibrieren	einrichten	2.82e-07	8.71e-06
Protest	Einspruch	1.95e-05	5.5e-06
tricksen	täuschen	6.17e-07	5.62e-06
manövrieren	bewegen	7.08e-07	4.27e-05
chauvinistisch	altherrenmäßig	9.12e-08	0.0
uncool	altmodisch	1.91e-06	2.04e-06
filmen	auf Band aufnehmen	2.34e-05	2.52e-05
apropos	wenn wir davon sprechen	5.5e-06	9.4e-05
crescendo	stetig lauter werdend	3.47e-07	3.11e-07
brüsk	abweisend	1.58e-07	8.51e-07
prekär	aussichtslos	1e-06	2.09e-06
primär	vorrangig	1.15e-05	6.46e-06
sondieren	untersuchen	4.37e-07	1.78e-05
ominös	merkwürdig	7.59e-08	1.2e-05
singulär	einzigartig	1.7e-07	7.59e-06
komplett	vollständig	8.91e-05	4.68e-05
deflationär	preisdrückend	0.0	0.0
what goes up, must come down	what goes up, must come	1.26e-06	1.37e-06
Reality-TV	Wirkflichkeitsfernsehen	5.59e-06	0.0
shoppen	anschaffen	5.01e-06	2.51e-06
vegetarisch	pflanzlich	2.75e-06	5.25e-07
beamen	zaubern	5.62e-07	4.79e-06
adieu	Tschüß	1.82e-06	9.12e-06
hot spots	Brennpunkten	1.72e-06	4.9e-07
engagieren	bemühen	8.91e-06	1.2e-05
UNO-Organisation	UNO-Verband	8.24e-06	7.13e-06
top-secret	geheimes	5.76e-06	2.63e-06
kuschen	nachgeben	3.09e-07	2.57e-06
betanken	auffüllen	2.57e-07	1.78e-06
separat	getrennt	3.63e-06	3.24e-05
blockieren	verhindern	7.94e-06	5.75e-05
deblockieren	freigeben	0.0	2.19e-06
kommerzialisieren	handelsfähig machen	4.57e-08	0.0
stationär	ortsfest	2e-06	6.61e-08
CAD	rechnergestütztes Entwerfen	2.14e-06	2.03e-08
monströs	riesig	2.04e-07	1.1e-05
experimentieren	Versuche zu starten	2.45e-06	2.72e-05
offiziell	amtlich	4.57e-05	3.24e-06
leasen	mieten	3.72e-07	1.78e-05
monetär	finanziell	2.51e-07	1.66e-05
HIV-infiziert	HIV-angesteckt	2.94e-06	1.93e-06
HIV-Test	HIV-Abklärung	5.54e-06	6.48e-07
abonnieren	bestellen	3.24e-06	2.69e-05
Sonderkommission	Sondergruppe	4.68e-07	6.31e-08
frontal	am Kopf	2.4e-06	0.000187
matt	zurückhaltend	1.41e-05	4.37e-06
balkanisieren	aufteilen	0.0	2.45e-06
automatisieren	maschinell zu verselbstständigen	9.55e-07	6.01e-08
etablieren	einrichten	7.76e-06	8.71e-06
nonstop	ohne Halt	1.38e-06	0.000182
UN-Resolution	UN-Beschluss	5.94e-06	1.52e-05
konfus	durcheinander	4.79e-07	1.07e-05
requirieren	sicherstellen	6.61e-08	6.03e-06
kontern	entgegensetzen	1.55e-06	9.55e-07
retournieren	zurückzusenden	5.89e-08	1.66e-07
anvisieren	anpeilen	2.45e-07	2.95e-07
kiffen	heizen einen	2.63e-06	3.54e-06
Konkurs	die Zahlungsunfähigkeit	2.34e-06	9.77e-07
verlinken	verbinden	2.88e-06	2.09e-05
Chefs	Vorsitzenden	7.41e-06	1.45e-05
clever	pfiffig	6.46e-06	5.62e-07
adieu	tschüs	1.82e-06	1.82e-07
sexy	aktuell	2.63e-05	7.94e-05
vis-a-vis	gegenüber	1.04e-06	0.000186
bravourös	vortrefflich	1.82e-07	6.92e-07
kommerzialisieren	ausbeuten	4.57e-08	1.23e-06
lukrativ	gewinnbringend	1.1e-06	1.26e-06
resultieren	ergeben sich	1.95e-06	3.69e-05
rassistisch	völkisch	5.89e-06	1.58e-06
markant	auffallend	1.23e-06	4.27e-06
visieren	fassen	1.15e-07	2.63e-05
beamen	strahlen	5.62e-07	7.94e-06
Konflikte	Streite	1.41e-05	1.55e-06
computergesteuert	rechnergesteuert	1e-07	0.0
präsentieren	darstellen	2.19e-05	2.51e-05
sondieren	abzuklären	4.37e-07	4.47e-07
forcieren	erzwingen	1.35e-06	3.8e-06
aufsplitten	aufteilen	4.47e-08	2.45e-06
relaxen	spannen aus	1.32e-06	2.82e-06
ruinieren	zugrunderichten	3.09e-06	0.0
perfide	hinterhältige	1.15e-06	4.9e-07
rocken	durchstarten	1.82e-06	1.29e-06
diskutieren	sprechen	2.51e-05	0.000135
delegieren	weiterreichen	7.08e-07	4.27e-07
rebellieren	erheben sich	6.61e-07	1.48e-05
standardmäßig	von Haus aus	2.29e-06	0.000236
malträtieren	schlecht behandeln	9.12e-08	2.24e-05
reell	echt	3.16e-07	0.000219
parken	abstellen	9.33e-06	5.01e-06
toppen	überbieten	2e-06	2.57e-06
posieren	zeigen	8.71e-07	0.000195
kriminell	verbrecherisch	3.02e-06	2.34e-07
frontal	von vorne	2.4e-06	5.34e-05
netto	nach Abzug	8.32e-06	1.04e-05
bombardieren	aus der Luft anzugreifen	1.26e-06	4.37e-06
day	Tag	2.14e-05	0.00049
couragiert	beherzt	1.95e-07	6.76e-07
massakrieren	abschlachten	1.95e-07	8.32e-07
promoten	bewerben	7.76e-07	1.51e-05
grotesk	bedrohlich	1.86e-06	2.95e-06
standardmäßig	vorschriftsmäßig	2.29e-06	4.79e-07
liberal	großzügig	5.37e-06	8.13e-06
zelebrieren	feiern	1.17e-06	5.75e-05
drastisch	in hohem Maß	6.03e-06	1.14e-05
brillieren	hervorzutun	2.4e-07	3.39e-08
Sanktionen	Leitender	1.29e-05	2.57e-06
Gütertransport	Güterbeförderung	2.34e-07	9.12e-08
platzieren	aufzustellen	4.9e-06	5.25e-06
chartern	anmieten	1.82e-07	6.17e-07
permanent	beständig	9.77e-06	3.8e-06
revolutionär	bahnbrechend	2.63e-06	5.25e-07
platzieren	unterbringen	4.9e-06	3.55e-06
riskieren	laufen wir ständig Gefahr	6.31e-06	2.85e-05
offshore	vor der Küste	2.82e-06	1.97e-05
paddeln	rudern	8.13e-07	2.51e-06
happy	schöner	1.74e-05	4.27e-05
blamieren	bloßstellen	1.26e-06	6.31e-07
familiär	in ihrer Sippe	1.07e-06	1.73e-06
