cavilha	mola	1.07e-07	2.63e-06
proposta	alvitre	9.33e-05	3.39e-08
t-shirt	camisa	2.33e-06	4.37e-05
operação stop	controlo pontual	9.59e-06	2.32e-06
Objecto	alvo	6.76e-06	6.92e-05
ferry	barco	1.66e-06	2.29e-05
banco	cadeira	0.000117	3.16e-05
fronte	fronteira	1.51e-06	6.17e-05
rigor	rigidez	6.03e-06	2.14e-06
panfleto	folheto	2.45e-06	2.95e-06
chique	elegante	5.89e-06	1.05e-05
robalo	ribalo	5.89e-07	0.0
hooligan	bandido	2.04e-07	1.26e-05
amendoim	ginbguba	4.47e-06	0.0
CPU	UCP	2.19e-06	3.55e-07
blind date	encontro às cegas	8.72e-07	2.41e-06
clã	partido	8.13e-06	0.00017
utilizar	empregar	3.31e-05	3.02e-06
euforia	júbilo	2.95e-06	1.15e-06
modelo	amostra	0.000112	2.04e-05
timer	temporizador	5.75e-07	6.76e-07
hooligans	bandidos	5.62e-07	1.86e-05
motivo	razão	0.00012	0.000123
plataforma	estrado	6.03e-05	3.55e-07
episódio	sucesso	7.24e-05	0.00017
chat	conversa	1.07e-05	9.77e-05
overdose	sobredosagem	4.57e-06	5.13e-08
burguesia	burgesia	3.8e-06	0.0
slogan	frase	5.75e-06	4.47e-05
pipeline	canal	4.57e-07	0.000132
modo	maneira	0.000162	0.000229
sprinter	velocista	2e-07	6.61e-07
unissex	unissexo	3.31e-07	3.02e-08
etapa	estágio	3.98e-05	1.91e-05
póster	cartaz	3.47e-08	1.23e-05
safe	segura	1.55e-06	4.9e-05
SMS	messagem digital	2.24e-05	3.39e-08
flat out	literariamente	1.95e-06	8.71e-08
poltrona	cadeira	2.04e-06	3.16e-05
website	página de web	2.75e-05	4.71e-05
end of  live vehicles	veículos em fim de vida	1.11e-07	4.69e-05
jogging	correr devagar	2.45e-07	1.17e-05
facto	veradade	5.37e-05	0.0
surf	pranchismo	4.9e-06	0.0
RNA	ANA	1.58e-06	8.32e-05
elasticidade	maleabilidade	1.35e-06	1.41e-07
vlog	vídeo blogue	1.62e-06	6.49e-06
recital	treino	1.23e-06	3.39e-05
robe	vestido	6.17e-07	3.55e-05
champagne	champanhe	2.82e-06	2.95e-06
stresse	estresse	3.16e-07	1.58e-05
fraude	contrabando	1.62e-05	3.63e-06
valise	maleta	2.45e-07	1.29e-06
argumentos	alegações	1.86e-05	6.92e-06
clipe	recorte	1.78e-05	1.29e-06
pipeline	tubagem	4.57e-07	1.7e-07
alpinista	montanista	6.03e-07	0.0
javali	barrão	1.95e-06	7.94e-08
on the job training	formação no local de trabalho	1.54e-06	6.91e-05
objectivos	alvos	6.92e-06	1.45e-05
meeting	reunião	1.86e-06	9.33e-05
brandy	conhaque	8.71e-07	8.91e-07
snorkel	snórquel	1.48e-07	0.0
riscos	perigos	2.69e-05	8.51e-06
capping	nivelamento	0.0	3.8e-07
funcional	usável	8.51e-06	9.33e-08
barman	atendente de bar	7.94e-07	2.65e-06
Evidentemente	Claramente	6.46e-06	3.89e-05
bravo	feroz	1.32e-05	3.89e-06
box	caixa	1.2e-05	7.94e-05
catástrofes	calamidades	1.82e-06	6.92e-07
posar	poscionar-se	1.62e-06	0.0
reality	realidade	1.32e-05	0.00012
emoção	sensação	2.24e-05	5.37e-05
posta	depois	2.24e-05	0.00115
nicho	segmento	2.82e-06	1.41e-05
desktop	ambiente de trabalho	2.34e-06	0.000104
saldo	excedente	1.07e-05	2.19e-06
epopeia	saga	4.07e-07	1.29e-05
espacial	incomum	1.74e-05	1.17e-05
sabre	sabre de luz	2e-06	1.97e-06
manipular	manusear	7.08e-06	6.92e-07
drenar	escoar	1.05e-06	4.9e-07
limusine	limusina	4.37e-07	4.37e-08
malte	malta	1.2e-06	1.26e-05
beleza	lindeza	8.91e-05	3.72e-07
kitsch	brega	2.75e-07	3.39e-06
tuning	afinação	3.02e-07	1.12e-06
voucher	cupão	3.8e-07	2.24e-07
bónus	prémios	1.91e-06	6.17e-06
display	ecrã	2.51e-06	5.13e-06
spin	estados de rotação	2.51e-06	5.51e-06
