χάπι	δισκίο	1e-05	0.0
κανάλι	τηλεοπτικός σταθμός	5.01e-05	1.91e-06
πιλότος	αεροπόρος	1.51e-05	0.0
γκαράζ	χώρο στάθμευσης	5.13e-06	5.21e-06
πούδρα	σκόνη	2.24e-06	2.19e-05
καριέρα	σταδιοδρομί	4.9e-05	0.0
πικάπ	συλλογή	1.02e-06	6.76e-05
τραμ	τροχιόδρομο	1.29e-05	0.0
ταλέντο	δεξιότητα	2.4e-05	1.2e-06
μπόι	ύψος	3.16e-06	7.08e-05
τρέσα	σειρά	0.0	0.000234
μπουτόν	κουμπί	0.0	2.57e-05
κάστρο	οχυρό	3.55e-05	8.71e-06
κουβέντα	συζήτηση	3.89e-05	8.32e-05
καμουφλάζ	συγκάλυψη	1.95e-06	2.24e-06
προφίλ	χαρακτηριστικά	5.37e-05	0.000115
ραντεβού	συνάντηση	7.08e-05	0.000117
ντοκιμαντέρ	τεκμηριογράφημα	2.88e-05	0.0
σόου	παράσταση	2.69e-05	5.62e-05
ντεντέκτιβ	αστυνομικός ερευνητής	0.0	6.69e-06
πρίζα	ηλεκτρική υποδοχή	6.76e-06	9.74e-06
κουπόνι	πιστοποιητικό	5.13e-06	8.51e-06
άλμπουμ	συλλογή	3.09e-05	6.76e-05
πρεμιέρα	πρώτη προβολή	3.98e-05	2.79e-05
γκαράζ	αμαξοστάσια	5.13e-06	0.0
καλούπι	καλούπι<	1.62e-06	1.62e-06
καράφα	κανάτα	0.0	1.29e-06
μαφία	εγκληματική οργάνωση	6.17e-06	9.39e-06
μοτέρ	κινητήρα	1.51e-06	2.09e-05
μέγγενη	σφιγκτήρα	0.0	0.0
λουρί	ιμάντα	3.31e-06	0.0
πινέλο	χρωστήρας	2.51e-06	0.0
σινεμά	κινηματογράφος	1.82e-05	6.46e-06
βίντεο	μαγνητοσκόπιο	0.000135	0.0
κάστα	κοινωνική τάξη	0.0	3.19e-05
καλούπι	μήτρα	1.62e-06	7.41e-06
φλιτζάνι	ποτήρι	6.61e-06	3.39e-05
λάμπα	λυχνία	7.94e-06	1.07e-06
καπιταλισμός	κεφαλαιοκρατία	6.03e-06	0.0
καπό	κάλλυμα	2.29e-06	0.0
πελτές	πολτός	0.0	0.0
βακαλάος	μπακαλιάρος	0.0	0.0
φανατισμός	οπαδισμός	1.17e-06	0.0
αφίσα	ανάρτηση	6.46e-06	2.51e-05
πυραμίδα	πυραμίδα	5.01e-06	5.01e-06
αεροπλάνο	αεροσκάφος	2.82e-05	1.95e-05
τζάμι	τζαμί	5.25e-06	1.17e-05
λακές	αυλοκόλακας	0.0	0.0
λικέρ	ηδύποτων	3.47e-06	0.0
τεστ	έλεγχο	4.9e-05	0.000129
πουλόβερ	πλεκτό	5.5e-06	1.32e-06
σινεμά	κινηματογράφοι	1.82e-05	0.0
ρεπορτάζ	δελτίο	2.51e-05	3.8e-05
πίπα	καπνιστήρι	1.7e-05	0.0
σικέ	στημένο	0.0	3.72e-06
οικολογικός	περιβαλλοντολογικός	0.0	0.0
μενού	επιλογές	1.45e-05	5.89e-05
κέφι	όρεξη	1.23e-05	2.95e-05
γούστο	προτίμηση	1.17e-05	7.94e-06
μούσι	γένια	3.72e-06	3.63e-06
κούρσα	αγώνα	6.61e-06	0.000204
καρναβάλι	απόκριες	5.89e-06	4.07e-06
κεχριμπάρι	ήλεκτρο	1.15e-06	0.0
πιόνι	πεσσός	3.63e-06	0.0
χιούμορ	αστεισμός	2.45e-05	0.0
κούπα	ποτήρι	1.15e-05	3.39e-05
γλόμπος	λαμπτήρας	0.0	0.0
πούλμαν	λεωφορεία	4.27e-06	1.32e-05
βούρτσα	χτένα	3.47e-06	1.32e-06
χαλί	κάλλυμα πατώματος	1.35e-05	0.0
σοκ	κλονισμού	2.57e-05	0.0
σοβάς	ασβεστοκονίαμα	0.0	0.0
μπογιά	βαφή	3.24e-06	6.61e-06
φωτοτυπία	αντίγραφο	0.0	2.29e-05
φόρμα	έντυπο	2.09e-05	5.5e-06
τσάντα	σάκος	4.07e-05	1.58e-06
κριτική	αξιολόγηση	5.62e-05	3.8e-05
αεροζόλ	εντομοκτόνο	0.0	1.1e-06
μάγια	μαγγανείες	7.76e-06	0.0
ραντάρ	ανιχνευτή	1e-05	2.69e-06
πρωτεύοντα	κύρια	1.95e-06	3.98e-05
σιντριβάνι	πηγή	1.86e-06	8.32e-05
καμουφλάζ	παραλλαγή	1.95e-06	5.75e-06
περβάζι	κατώφλι	0.0	4.68e-06
πιάτο	πινάκιον	2.57e-05	0.0
κόρνα	σάλπιγγα	2.34e-06	1.12e-06
κάρβουνο	άνθρακα	3.8e-06	1.86e-05
φουαγιέ	προθάλαμος	1.1e-06	0.0
λίστα	κατάλογος	0.0001	1.48e-05
μορατόριουμ	αναστολή	0.0	1.51e-05
μπετόν	σκυρόδεμα	2.4e-06	3.47e-06
μπουκέτο	ανθοδέσμη	2.24e-06	1.51e-06
πόστα	θέσεις	1.66e-06	0.000155
ρεκτιφιέ	επισκευή	0.0	5.89e-06
κατσαρόλα	χύτρα	6.92e-06	1.41e-06
μάσκα	προσωπείο	2.75e-05	2e-06
τοξίνη	δηλητήριο	1.55e-06	8.13e-06
νούμερο	αριθμό	3.98e-05	0.00012
δαντέλα	κέντημα	2.88e-06	1.35e-06
βολονταρισμός	βουλησιαρχία	0.0	0.0
βάνα	αναστροφέας	1.91e-06	0.0
καμπαναριό	κωδωνοστάσιο	1.91e-06	0.0
παζλ	γρίφος	8.13e-06	2.63e-06
κλισέ	κοινότυπη	5.01e-06	0.0
μάνατζερ	διαχειρηστών	1.2e-05	0.0
μπλοκ	αξώνων	2.82e-05	0.0
κλισέ	κοινοτοπίες	5.01e-06	0.0
βίζα	θεώρηση εισόδου	3.8e-06	4.55e-06
μαγιά	ζυμομύκητες	1.62e-06	0.0
χούντα	δικτατορία	1.15e-05	9.55e-06
καναπές	καθιστικό	4.47e-06	3.39e-06
νταντά	τροφός	3.02e-06	0.0
παρτέρι	ανθώνας	0.0	0.0
μπαζάρ	αγορά	0.0	0.000129
καβάλα	επάνω	1.95e-05	6.31e-05
σκι	χιονοδρομίας	1.23e-05	0.0
κουπ πατ	φόρμας	0.0	1.51e-06
τουρνουά	διαγωνισμός	2.57e-05	3.47e-05
μετάλλιο	έμβλημα	3.98e-05	3.8e-06
καπάκι	πώμα	1.26e-05	0.0
παζάρι	αγόρα	6.76e-06	0.0
ταμπλό	πίνακα	5.25e-06	6.03e-05
μετρό	υπόγειος σιδηρόδρομος	3.24e-05	6.92e-07
πάρκινγκ	χώρος στάθμευσης	1.48e-05	4.96e-06
πιάτσα	στάση	5.89e-06	8.32e-05
μετρό	υπόγειου σιδηροδρόμου	3.24e-05	7.48e-07
ρεπό	άδεια	1.17e-05	0.000123
μάξιμουμ	ολική	0.0	1.02e-05
τραμ	τράμ	1.29e-05	0.0
σοσιαλδημοκρατία	κοινωνική δημοκρατία	1.74e-06	3.52e-05
ντεκόρ	διακόσμηση	1.45e-06	1.29e-05
ντεμπούτο	πρώτη εμφάνιση	1.17e-05	8.08e-05
μπράβο	εύγε	0.000105	1.82e-06
κλασικός	συνηθισμένος	2.88e-06	3.24e-06
μοβ	πορφυρές	3.09e-06	0.0
κόστος	έξοδα	4.57e-05	2.14e-05
παντιέρα	σημαία	0.0	4.07e-05
γκάζι	φωταέριο	8.91e-06	0.0
πλατφόρμα	βάση δεδομένων	1.91e-05	5.06e-05
πακέτο	σύνολο προτάσεων	4.47e-05	4.88e-06
τιρκουάζ	γαλαζοπράσινο	1.07e-06	0.0
παπαγάλος	ψιττακός	1.58e-06	0.0
ατομικισμός	εγωισμός	0.0	2.95e-06
κραχ	κρίσης	1.38e-06	2.82e-05
πένα	κονδυλοφόρος	4.57e-06	0.0
γκάλοπ	δημοσκόπηση	1.38e-06	7.76e-06
ντουλάπι	ερμάριο	5.62e-06	0.0
πανόραμα	θέα	6.46e-06	3.47e-05
κλάση	είδος	6.46e-06	0.00012
λάβαρο	σημαία	1.74e-06	4.07e-05
παρόλα	παρά ταύτα	2.63e-05	5.62e-06
μποτίλια	μπουκάλι	0.0	2e-05
φρένο	ανασχετήρας	6.61e-06	0.0
καμπάνα	κώδων	6.31e-06	0.0
οβίδα	βλήμα	0.0	3.09e-06
οβάλ	ωοειδές	2.88e-06	0.0
καλντερίμι	δρομάκι	0.0	1.12e-06
μπάντα	μουσικό συγκρότημα	1.7e-05	1.48e-05
γάζα	αποστειρωμένη ταινία	5.25e-06	0.0
πάρτι	γιορτή	3.72e-05	4.47e-05
γκάμα	κλίμακα	4.9e-06	1.95e-05
μάνατζερ	διευθυντής	1.2e-05	6.46e-05
κράμπα	επώδυνη σύσπαση	1.38e-06	6.72e-07
μοντέρνος	σύγχρονος	1.12e-06	7.76e-06
λάμα	λεπίδα	3.47e-06	2.88e-06
φεστιβάλ	πανηγύρι	8.32e-05	1.12e-05
ντεγκραντέ	βαθμιαίοι	0.0	0.0
γραβάτα	λαιμοδέτη	7.94e-06	0.0
ρεζέρβα	εφεδρεικό	0.0	0.0
ζενίθ	έπακρο	1.62e-06	1.74e-06
μπαλόνι	φούσκα	4.47e-06	4.37e-06
σουτ	ρίψη	1.29e-05	4.07e-06
ατόλη	λιμνοθάλασσα	0.0	2.24e-06
μάνατζμεντ	διαχείρησης	1.45e-06	0.0
πολυθρόνα	καρέκλα	4.27e-06	3.02e-05
τηλεόραση	δέκτης	9.33e-05	1.95e-06
σκίτσο	σκαρίφημα	4.79e-06	0.0
μενού	κατάλογο	1.45e-05	2.24e-05
φεστιβάλ	εκδήλωσης	8.32e-05	6.46e-06
μπύρα	ζύθος	3.31e-05	0.0
κουκούλα	κάλυμμα κεφαλής	6.31e-06	3.41e-06
βιτρίνα	προθήκη	7.59e-06	0.0
πανόραμα	απεικόνισμα	6.46e-06	0.0
ρεβιζιονισμός	αναθεωρητισμός	0.0	0.0
σκίτσο	ιχνογράφημα	4.79e-06	0.0
μπαλκόνι	εξώστης	1.45e-05	0.0
πάστα	πολτός	3.24e-06	0.0
μπουτίκ	μαγαζιά	1.7e-06	1.41e-05
καΐκι	πλοιάριο	0.0	1.15e-06
τζαμί	τέμενο	1.17e-05	0.0
ακομπανιάρω	συνοδέυω	0.0	0.0
αλτρουισμός	φιλαλληλία	0.0	0.0
γκρουπ	συγκροτήματα	1.26e-05	7.76e-06
συνδικάτο	κοινοπραξία	3.55e-06	4.17e-06
κραγιόν	βαφή χειλιών	9.12e-06	1.88e-06
καλοριφέρ	θερμαντικό σώμα	3.72e-06	0.0
κάσα	πλαίσιο	2.24e-06	6.76e-05
κασέτα	μαγνητοταινία	4.17e-06	0.0
τσιπ	μικροκύκλωμα	3.98e-06	0.0
κιμάς	αλεσμένο κρέας	1.45e-06	0.0
σέξι	ελκυστικές	2.75e-05	0.0
βεράντα	εξώστης	1.07e-05	0.0
παρμπρίζ	ανεμοθώρακας	2.82e-06	0.0
παζάρι	αγορά	6.76e-06	0.000129
μοντέλο	δείγμα	7.41e-05	3.47e-05
χίντι	ινδικά	0.0	1.86e-06
πριμ	ασφάλιστρα	1.2e-06	0.0
λίρα	>λίρα	4.37e-06	4.37e-06
κανάλι	σταθμός	5.01e-05	3.02e-05
θρίλερ	αγωνία	1.62e-05	2.14e-05
ντε	στην πράξη	9.12e-05	7.18e-05
μπορντούρα	περίγραμμα	0.0	3.47e-06
βοτανική	φυτολογία	0.0	0.0
ταβάνι	οροφή	7.41e-06	1.35e-05
αξεσουάρ	είδη	1e-05	8.71e-05
ντοκουμέντο	τεκμήριο	3.31e-06	4.57e-06
βαγόνι	επιβατάμαξα	4.27e-06	0.0
πλαζ	παραλία	1.95e-06	7.24e-05
κολιέ	περιδέραιο	1.05e-05	1.38e-06
ασορτί	ταιριαστό	1.41e-06	1.95e-06
ρεπορτάζ	ειδησεογραφία	2.51e-05	1.02e-06
αεροδρόμιο	αερολιμένας	5.5e-05	1.74e-06
μπελάς	σκοτούρα	0.0	0.0
παρτιτούρα	μουσικό χειρόγραφο	0.0	3.72e-06
σεξ	συνουσία	0.000105	2.34e-06
σαμποτάζ	δολιοφθορά	3.8e-06	0.0
ντάμα	σύντροφο	1.86e-06	1.05e-05
βάζο	δοχείο	6.17e-06	1.05e-05
ρεκόρ	επιτεύγματά	6.03e-05	1.26e-06
κλινική	νοσοκομείο	2.57e-05	0.000102
μίνιμουμ	ελάχιστες	0.0	1.17e-05
φουριόζος	βιαστικός	0.0	1.12e-06
κλικ	πάτημα (κουμπιού)	2.14e-05	0.0
πόλο	άκρο	1.7e-05	1.29e-05
