					
					
Und so wurde mir auch heute wieder eine Seite gezeigt, und ich bin tief berührt von dem was ich sehe und auch fühle. Es ist ganz klar diese schöne Inspiration, die ich in vielen der Kommentare und auch Interaktionen fand, und einige Menschen <L1>posten</L1> Blogs und Videos und so.	And so today again I'm shown a page and I'm deeply touched by what I see and I feel also, it was clear that beautiful inspiration, that I found in many of the comments and the interactions also, and some of the people are posting blogs and videos and so.	Position Stelle Job Stellung Posten Amt Arbeit Beschäftigungsverhältnis Arbeitsverhältnis Arbeitsstelle Anstellung Stätte seines Wirkens Arbeitsplatz | Schwung Partie Posten Lieferung Los Charge Lot Konvolut | in einForum schreiben posten | Rang Stelle Stellung Posten Amt Charge Dienstgrad | Aufsicht Wache Posten Patrouille Wachmannschaft Wachposten Wachdienst Wacht Security Service Wachtposten Sicherheitsdienst			
Und so wurde mir auch heute wieder eine Seite gezeigt, und ich bin tief berührt von dem was ich sehe und auch fühle. Es ist ganz klar diese schöne Inspiration, die ich in vielen der Kommentare und auch Interaktionen fand, und einige Menschen <N1>veröffentlichen</N1> Blogs und Videos und so.	And so today again I'm shown a page and I'm deeply touched by what I see and I feel also, it was clear that beautiful inspiration, that I found in many of the comments and the interactions also, and some of the people are posting blogs and videos and so.				
TRUE					
					
Die Welt von morgen wird <L1>komplett</L1> integriert sein. Sie werden kein Pilot sein,	This world that you're going to be talking about tomorrow is going to be completely integrated.	komplett perfekt gültig valide rechtskräftig | komplett ausgebucht nichts mehr frei voll belegt | generell vollständig gesamt komplett in Gänze in Bausch und Bogen pauschal durchweg hundertprozentig durchwegs einstimmig durchgängig alle, wie sie da sind samt und sonders ausnahmslos restlos alle miteinander alle, wie sie da waren ohne Ausnahme vollzählig durch die Bank in jeder Richtung praktisch alle | der Länge nach total vollumfänglich von A bis Z auf ganzer Linie vollständig gesamt heillos völlig komplett voll und ganz ganz in Gänze exhaustiv			
Die Welt von morgen wird <N1>vollständig</N1> integriert sein. Sie werden kein Pilot sein,	This world that you're going to be talking about tomorrow is going to be completely integrated.				
TRUE					
					
Oberhaupt der <L1>NASA</L1> beziehen. Als wir zusammen im Kongress vorsprachen brachte er seine Vision über die Zukunft dieser Art Fluggeräts vor.	I'd prefer to quote someone else, who testified with me before Congress, and in his position as head of NASA put forward this particular vision of the future of this type of aircraft.	National Aeronautics and Space Administration Nationale Luft- und Raumfahrtbehörde NASA US-Raumfahrtbehörde			
Oberhaupt der <N1></N1> beziehen. Als wir zusammen im Kongress vorsprachen brachte er seine Vision über die Zukunft dieser Art Fluggeräts vor.	I'd prefer to quote someone else, who testified with me before Congress, and in his position as head of NASA put forward this particular vision of the future of this type of aircraft.		not a loanword, more just an abbreviation that we could replace with the German complete name		
FALSE					
					
Er nutzt <L1>GPS</L1> -- damit sind Sie ja in ihrem Auto vertraut, Sie wissen vielleicht nicht, dass es ein GPS für die USA gibt, eines für Russland, und ein neues GPS System für Europa, namens Galileo.	It makes use of the GPS -- you're familiar with GPS in your automobile, but you may not be familiar with the fact that there's a GPS U.S., there's a Russian GPS, and there's a new GPS system going to Europe, called Galileo.	GPS Globales Positionsbestimmungssystem			
Er nutzt <N1></N1> -- damit sind Sie ja in ihrem Auto vertraut, Sie wissen vielleicht nicht, dass es ein GPS für die USA gibt, eines für Russland, und ein neues GPS System für Europa, namens Galileo.	It makes use of the GPS -- you're familiar with GPS in your automobile, but you may not be familiar with the fact that there's a GPS U.S., there's a Russian GPS, and there's a new GPS system going to Europe, called Galileo.		abbreviation, not loanword		
FALSE					
					
Um von zu Hause aus <L1>starten</L1> zu können, müsste das sehr leise geschehen.	I mean to be able to take off from your home, you'd have to be extremely quiet.	anmachen starten anschmeißen anwerfen einschalten anknipsen aktivieren anschalten anstellen anlassen in Gang setzen in Betrieb setzen Startknopf drücken | starten abheben sich in die Lüfte erheben | starten losgehen anheben einsetzen anbrechen entbrennen losbrechen in Gang kommen beginnen anfangen | starten ins Leben rufen initiieren in Gang bringen ankurbeln entstehen lassen in Gang setzen ans Laufen bringen Initiator sein anleiern | starten initialisieren anschmeißen anwerfen hochfahren booten urladen | aufbrechen starten abmarschieren ausrücken Standort verlassen | starten anfahren in Betrieb nehmen hochfahren in Dienst stellen in Betrieb setzen | beginnen etwas antreten etwas anpacken herangehen an sich daranmachen zu durchstarten einleiten anfangen an etwas gehen in Angriff nehmen etwas angreifen einsteigen etwas aufnehmen Startschuss geben loslegen darangehen zu zur Tat schreiten angehen starten anschmeißen anwerfen initiieren etwas anleiern induzieren in Gang bringen entfachen etwas in Gang setzen anheben eröffnen einsteigen in aufnehmen			
Um von zu Hause aus <N1>beginnen</N1> zu können, müsste das sehr leise geschehen.	I mean to be able to take off from your home, you'd have to be extremely quiet.				
TRUE					
					
Weißt du, wenn du ein <L1>CEO</L1> wärst, du würdest die gleichen Entscheidungen treffen wie sie.	You know, if you were a CEO, you would be making the same choices they do.	CEO Vorsitzender des Vorstands Vorstandsvorsitzender erster Angestellter | CEO Geschäftsführer			
Weißt du, wenn du ein <N1></N1> wärst, du würdest die gleichen Entscheidungen treffen wie sie.	You know, if you were a CEO, you would be making the same choices they do.		abbreviation 		
FALSE					
					
Es wird Zeit, sich darauf vorzubereiten und etwas dazu beizusteuern und es <L1>passieren</L1> zu lassen.	It's time to get ready for it, and help contribute to it, and make it happen.	ertragen erleiden durchlaufen durchmachen mitmachen überstehen hinnehmen passieren durchhalten verleben erleben durchleben ausstehen zustoßen auf sich wirken lassen in Kauf nehmen einen Streifen mitmachen am eigenen Leib erfahren einstecken miterleben erfahren | durchgehen seihen durchseihen sieben passieren | passieren kommen zu sich ereignen vorfallen erfolgen sich tun sich zutragen sich begeben geschehen nicht ausbleiben ergehen sich abspielen | vorbeigehen passieren vorübergehen | passieren überschreiten übertreten			
Es wird Zeit, sich darauf vorzubereiten und etwas dazu beizusteuern und es <N1>geschehen</N1> zu lassen.	It's time to get ready for it, and help contribute to it, and make it happen.				
TRUE					
					
Aber mich bestürzte die Tatsache, dass Amerika, ein Land mit so einer angeschlagenen Bürgerrechtsgeschichte, seine Fehler so <L1>ungeniert</L1> wiederholen konnte.	But I was struck by the fact that America, a country with such a tarnished civil rights record, could be repeating its mistakes so blatantly.	unbekümmert vorlaut zwanglos ungezwungen schamlos frech kess keck vorwitzig ungeniert schmerzfrei locker-flockig locker vom Hocker ohne falsche Scham | schlankweg spontan einfach so umstandslos ohne viel Federlesens bedenkenlos ohne langes Überlegen ohne Umschweife ungeniert ohne weiteres ohne Weiteres a limine mir nichts dir nichts kurzentschlossen ohne viel Aufhebens kurz entschlossen ohne lange zu fackeln ohne Wenn und Aber brevi manu ohne Zögern vom Fleck weg unbesehen ohne lange zu überlegen kurzerhand ohne zu fragen ohne zu zögern kurzweg ohneweiters kurz und schmerzlos | schamlos ohne Bedenken ungeniert ohne Hemmungen | ungeziert ungeniert | unverdrossen fröhlich ungeniert einfach weiter lustig munter einfach nicht aufhören zu			
Aber mich bestürzte die Tatsache, dass Amerika, ein Land mit so einer angeschlagenen Bürgerrechtsgeschichte, seine Fehler so <N1>ohne Scham</N1> wiederholen konnte.	But I was struck by the fact that America, a country with such a tarnished civil rights record, could be repeating its mistakes so blatantly.				
TRUE					
					
