					
					
Ευρωπαϊκές σπουδές, <L1>διεθνής</L1> πολιτική και διπλωματία	European Studies, International Politics and diplomacy				
Ευρωπαϊκές σπουδές, <N1>διεθνής</N1> πολιτική και διπλωματία	European Studies, International Politics and diplomacy				
TRUE					
					
Δημόσια Διοίκηση - περιφερειακή και <L1>δημοτική</L1> διαχείριση	Public Administration - regional and municipal management				
Δημόσια Διοίκηση - περιφερειακή και <N1>δημοτική</N1> διαχείριση	Public Administration - regional and municipal management				
TRUE					
					
Η πανεπιστημιακή διαχείριση θεωρείται βασικό <L1>μέσο</L1> για τη στήριξη της προενταξιακής προετοιμασίας των συνδεδεμένων χωρών εταίρων.	University management is seen as an essential instrument to underpin the preaccession preparations of the associated partner countries.				
Η πανεπιστημιακή διαχείριση θεωρείται βασικό <N1>μέσο</N1> για τη στήριξη της προενταξιακής προετοιμασίας των συνδεδεμένων χωρών εταίρων.	University management is seen as an essential instrument to underpin the preaccession preparations of the associated partner countries.				
TRUE					
					
Ο <L1>ρόλος</L1> τους έγκειται στη συμβολή τους στο πρόγραμμα βάσει των γνώσεων και των εξειδικευμένων δεξιοτήτων τους (π.χ. δεξιότητες διαχείρισης έργων, γνώσεις και γενικές ιδέες διαρθρωτικής ανάπτυξης που αποκτήθηκαν μέσω της συνεργασίας με εταίρους της ΕΕ, εμπειρία σε δίκτυα εταίρων της ΕΕ).	Their role would be to contribute to the project on the basis of their knowledge and specific skills ( e.g. project management skills, knowledge and concepts of structural developments acquired through collaboration with EU partners, experienced EU partner networks).	ρόλος χαρακτήρας			
Ο <N1>ρόλος</N1> τους έγκειται στη συμβολή τους στο πρόγραμμα βάσει των γνώσεων και των εξειδικευμένων δεξιοτήτων τους (π.χ. δεξιότητες διαχείρισης έργων, γνώσεις και γενικές ιδέες διαρθρωτικής ανάπτυξης που αποκτήθηκαν μέσω της συνεργασίας με εταίρους της ΕΕ, εμπειρία σε δίκτυα εταίρων της ΕΕ).	Their role would be to contribute to the project on the basis of their knowledge and specific skills ( e.g. project management skills, knowledge and concepts of structural developments acquired through collaboration with EU partners, experienced EU partner networks).				
TRUE					
					
Η επιχορήγηση σκοπό έχει να χρηματοδοτήσει, μερικώς ή πλήρως, το <L1>κόστος</L1> υλοποίησης των προτεινόμενων δραστηριοτήτων του προγράμματος.	The grant is intended to finance, either partially or totally, the costs of implementing the project's proposed activities.	έξοδα δαπάνη κόστος			
Η επιχορήγηση σκοπό έχει να χρηματοδοτήσει, μερικώς ή πλήρως, τα <N1>έξοδα</N1> υλοποίησης των προτεινόμενων δραστηριοτήτων του προγράμματος.	The grant is intended to finance, either partially or totally, the costs of implementing the project's proposed activities.				
