					
					
Como puderam constatar, o grande <L1>bug</L1> do ano 2000 não aconteceu. Em contrapartida, os cidadãos de alguns dos nossos países foram vítimas de catástrofes naturais verdadeiramente terríveis.	Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.				
Como puderam constatar, o grande <N1>erro</N1> do ano 2000 não aconteceu. Em contrapartida, os cidadãos de alguns dos nossos países foram vítimas de catástrofes naturais verdadeiramente terríveis.	Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.		Here as understood bug is meant as a computer bug and not the insect		
TRUE					
					
Os senhores manifestaram o desejo de se proceder a um <L1>debate</L1> sobre o assunto nos próximos dias, <L2>durante</L2> <L3>este</L3> período de sessões.	You have requested a debate on this subject in the course of the next few days, during this part-session.	Leste este leste levante			
Os senhores manifestaram o desejo de se proceder a uma <N1>altercação</N1> sobre o assunto nos próximos dias, <N2>durante</N2> <N3>este</N3> período de sessões.	You have requested a debate on this subject in the course of the next few days, during this part-session.		Since "este" is used similarly in many latin languages, I assume that's why it was flaged only L1 presents itself as a Loanword		
TRUE					
					
Certamente que já tomou conhecimento, pelas notícias transmitidas na imprensa e na televisão, dos diversos atentados à <L1>bomba</L1> e assassínios perpetrados no Sri Lanka.	You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka.	bomba d'água bomba de combustível bomba bombas | Bombas bomba | Bomba Hidráulica Bomba hidráulica bomba d'água bomba de combustível bomba bombagem bombas de água bombas			
Certamente que já tomou conhecimento, pelas notícias transmitidas na imprensa e na televisão, dos diversos atentados à <N1>explosivo</N1> e assassínios perpetrados no Sri Lanka.	You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka.				
TRUE					
					
Se a <L1>assembleia</L1> estiver de acordo, farei como sugeriu o senhor deputado Evans.	If the House agrees, I shall do as Mr Evans has suggested.	Assembleia Assembléia | assembléia reunião | assembleia convocação | assembleia assembléia			
Se a <N1>assembleia</N1> estiver de acordo, farei como sugeriu o senhor deputado Evans.	If the House agrees, I shall do as Mr Evans has suggested.				
TRUE					
					
No entanto, sucede agora que ele deverá será novamente acusado, uma vez que o Ministério Público <L1>irá</L1> interpor recurso.	Now, however, he is to go before the courts once more because the public prosecutor is appealing.	Irao Irã Irão Pérsia República Islâmica do Irão | ira raiva | cólera ira raiva zanga | cólera furia furor fúria ira raiva | cólera ira sete pecados capitais			
