					
					
Автор: Питер Лион Тех, кто получают <L1>информацию</L1> о том, что происходит в мире сегодня из <L2>прессы</L2> и <L3>телевидения</L3>, нужно простить за то, что они не видят в ООН ничего кроме Совета безопасности и <L4>Генеральной ассамблеи</L4> , также, что проводимые там <L5>процессы</L5> касаются только бесконечных и бесплотных <L6>дебатов</L6>, периодически прерываемых <L7>вето</L7> Совета безопасности, и что не происходит сдвигов, нет <L8>прогресса</L8>, никакие положительные действия не предлагаются, не планируются и не кажутся возможными.	Peter Lyon Those who depend upon the press – and upon the televised  news  programs – for their information about what is going in the world can be excused for believing that there is nothing to the United Nations but the Security Council and the General Assembly; that what goes on there is only an interminable, sterile debate, periodically punctured in the Security Council by Soviet vetoes; and that there is no achievement, no progress, no positive action proposed, planned, or indeed possible.				
Автор: Питер Лион Тех, кто получают <N1>извещения</N1> о том, что происходит в мире сегодня из <N2>печати</N2> и <N3>дальновидения</N3>, нужно простить за то, что они не видят в ООН ничего кроме Совета безопасности и <N4>Общего собрания</N4> , также, что проводимые там <N5>действия</N5> касаются только бесконечных и бесплотных <N6>обсуждений</N6>, периодически прерываемых <N7>запретами</N7> Совета безопасности, и что не происходит сдвигов, нет <N8>движения вперед</N8>, никакие положительные действия не предлагаются, не планируются и не кажутся возможными.	Peter Lyon Those who depend upon the press – and upon the televised  news  programs – for their information about what is going in the world can be excused for believing that there is nothing to the United Nations but the Security Council and the General Assembly; that what goes on there is only an interminable, sterile debate, periodically punctured in the Security Council by Soviet vetoes; and that there is no achievement, no progress, no positive action proposed, planned, or indeed possible.				
TRUE					
					
<L1>Генеральная Ассамблея</L1> является ядром <L2>Организации</L2> Объединенных <L3>Наций</L3>, в которые входят государства, не важно - большие или маленькие; и эти государства обладают равными правами, и у них есть право ровно на один голос.	The General Assembly is the core of the United Nations, here the nations, whether great or small, sit on an equal basis, each with one vote.				
<N1>Общее собрание</N1> является ядром <N2>Учреждения</N2> Объединенных <N3>Народностей</N3>, в которые входят государства, не важно - большие или маленькие; и эти государства обладают равными правами, и у них  право есть ровно на один голос.	The General Assembly is the core of the United Nations, here the nations, whether great or small, sit on an equal basis, each with one vote.				
TRUE					
					
Влияние и полномочия <L1>Секретариата</L1> зависят (в определенной степени, но не так сильно, как это принято считать) от возможностей и <L2>таланта</L2> всего одного человека - а именно, <L3>Генерального Секретаря</L3>.	The influence and authority of the Secretariat depends to an extent (though not nearly to the extent that is popularly supposed) on the talent of one individual – the Secretary General.				
Влияние и полномочия <N1>Чиновнического Отдела</N1> зависят (в определенной степени, но не так сильно, как это принято считать) от возможностей и <N2>одаренности</N2> всего одного человека - а именно, <N3>Главного Чиновника</N3>.	The influence and authority of the Secretariat depends to an extent (though not nearly to the extent that is popularly supposed) on the talent of one individual – the Secretary General.				
TRUE					
					
Некоторые люди, которые составляли Устав ООН, полагали, что <L1>Генеральный Секретарь</L1> будет обычным <L2>секретарем</L2>, выполняющим все приказы сверхдержав; другие считали, что он мог бы стать руководителем, по желанию и действиям которого, все Великие державы будут зависеть от него.	Some of those who drafted the Charter imagined that the Secretary General would be merely a superclerk, taking orders from the great powers as they desired; others sensed that he might become an executive, willing and doing, even sometimes obliging a Great Power to tail along after him.				
Некоторые люди, которые составляли Устав ООН, полагали, что <N1>Главный Чиновник</N1> будет обычным <N2>чиновником</N2>, выполняющим все приказы сверхдержав; другие считали, что он мог бы стать руководителем, по желанию и действиям которого, все Великие державы будут зависеть от него.	Some of those who drafted the Charter imagined that the Secretary General would be merely a superclerk, taking orders from the great powers as they desired; others sensed that he might become an executive, willing and doing, even sometimes obliging a Great Power to tail along after him.				
TRUE					
					
На данный момент <L1>проблема</L1> мира остается нерешенной. ООН, вместо того чтобы решать ее, продолжает играть в детский сад.	In the process the cause of peace is not served, but the kindergarten theory flourishes.				
На данный момент <N1>трудность</N1> мира остается нерешенной. ООН, вместо того чтобы решать ее, продолжает играть в детский сад.	In the process the cause of peace is not served, but the kindergarten theory flourishes.				
TRUE					
					
Тех, кто узнает о мировых событиях из <L2>прессы</L2> или ТВ новостей, можно простить за то, что они думают, что ООН включает в себя только Совет Безопасности и <L1>Генеральную Ассамблею</L1>, что единственное, что там происходит - это бесконечные, ни к чему не приводящие, <L3>дебаты</L3>, решению которых, время от времени, препятствует использование СССР права <L4>вето</L4>, что там нет никакого развития, а также предложений, <L5>планов</L5> и <L6>перспектив</L6> или одобрительных действий.	Those who depend upon the press – and upon the televised  news  programs – for their information about what is going in the world can be excused for believing that there is nothing to the United Nations but the Security Council and the General Assembly; that what goes on there is only an interminable, sterile debate, periodically punctured in the Security Council by Soviet vetoes; and that there is no achievement, no progress, no positive action proposed, planned, or indeed possible.				
Тех, кто узнает о мировых событиях из <N2>печати</N2> или ТВ новостей, можно простить за то, что они думают, что ООН включает в себя только Совет Безопасности и <N1>Общее собрание</N1>, что единственное, что там происходит - это бесконечные, ни к чему не приводящие, <N3>обсуждения</N3>, решению которых, время от времени, препятствует использование СССР права <N4>запрета</N4>, что там нет никакого развития, а также предложений, <N5>намерений</N5> и <N6>возможностей</N6> или одобрительных действий.	Those who depend upon the press – and upon the televised  news  programs – for their information about what is going in the world can be excused for believing that there is nothing to the United Nations but the Security Council and the General Assembly; that what goes on there is only an interminable, sterile debate, periodically punctured in the Security Council by Soviet vetoes; and that there is no achievement, no progress, no positive action proposed, planned, or indeed possible.				
TRUE					
					
1. <L1>Вице президент</L1>	Vice President				
1. <N1>Заместитель главы государства</N1>	Vice President				
TRUE					
					
Думаю, что ваша <L1>компания</L1> нуждается в моих услугах и поэтому я мог бы приступить к работе в любое время.	It is for this reason I am available for immediate employment.				
Думаю, что ваше <N1>сообщество</N1> нуждается в моих услугах и поэтому я мог бы приступить к работе в любое время.	It is for this reason I am available for immediate employment.				
TRUE					
					
Уважаемый <L1>мистер</L1> Кейс,	Dear Mr. Kase:				
Уважаемый <N1>господин</N1> Кейс,	Dear Mr. Kase:				
TRUE					
					
На предыдущем месте работы, в <L1>сферу</L1> моих обязанностей входило управление отделом разработок и исследований <L2>корпорации</L2> Харрингтон Кемикл Ко , который проводил изыскания по вопросам использования <L3>термоядерной</L3> <L4>энергии</L4>, лазерного излучения, опытно-конструкторскую работу с <L5>молекулярным</L5> водородом, а также <L6>компьютерный</L6> <L7>анализ</L7> тритийных соединений.	In my previous position I was in charge of research and development for the Harrington Chemical Co. We did work in thermo-nuclear energy, laser beam refraction, hydrogen molecule development, and heavy water computer data.				
На предыдущем месте работы, в <N1>область</N1> моих обязанностей входило управление отделом разработок и исследований <N2>организации</N2> Харрингтон Кемикл Ко , который проводил изыскания по вопросам использования <N3>теплоядерной</N3> <N4>мощности</N4>, лазерного излучения, опытно-конструкторскую работу с <N5>состоящим из частиц</N5> водородом, а также <N6>вычислительный</N6> <N7>разбор</N7> тритийных соединений.	In my previous position I was in charge of research and development for the Harrington Chemical Co. We did work in thermo-nuclear energy, laser beam refraction, hydrogen molecule development, and heavy water computer data.				
TRUE					
					
Я окончил <L1>колледж</L1> и работал в отделе исследований и разработок.	I have had a college education and have fiddled around in research and development.				
Я окончил <N1>среднее учебное заведение</N1> и работал в отделе исследований и разработок.	I have had a college education and have fiddled around in research and development.				
TRUE					
					
Зигфрид, <L1>штат</L1> Иллинойс	Ziegfried, III. Dere Ser,				
Зигфрид, <N1>разряд</N1> Иллинойс	Ziegfried, III. Dere Ser,				
TRUE					
					
Также выяснилось, что в личных целях <L1>корпоративный</L1> <L2>интернет</L2> используют 61 <L3>процент</L3> опрошенных, и время, затраченное на это составляет примерно 3,1 часа в неделю или четверть всего рабочего времени.	According to the survey, 61 percent of employees with Internet access have spent at least some time accessing personal sites. The average is 3.1 hours a week, compared with 12.8 hours for work-related surfing.				
Также выяснилось, что в личных целях <N1>служебную</N1> <N2>сеть</N2> используют 61 <N3>из ста</N3> опрошенных, и время, затраченное на это составляет примерно 3,1 часа в неделю или четверть всего рабочего времени.	According to the survey, 61 percent of employees with Internet access have spent at least some time accessing personal sites. The average is 3.1 hours a week, compared with 12.8 hours for work-related surfing.				
TRUE					
					
По данным <L1>телефонного</L1> опроса, заказанного <L2>корпорацией</L2> Вебсенс , которая занимается созданием программного обеспечения для отслеживания и <L2>корпорацией</L2> фильтрации данных, поступающих через <L3>интернет</L3>, каждый четвертый служащий просматривает или слушает <L4>он-лайн</L4> новости со своего рабочего места, по крайней мере, раз в неделю. А 18% загружали и хранили <L5>файлы</L5> <L6>мультимедиа</L6> несвязанные с работой.	A quarter of employees watch or listen to streaming media at least once a week from work, and 18 percent have downloaded and stored nonwork music, photos and video clips, according to a telephone-based survey sponsored by Websense Inc., which makes software that helps companies filter and monitor Internet use.				
По данным <N1>дальнослухового</N1> опроса, заказанного <N2>службой</N2> Вебсенс , которая занимается созданием программного обеспечения для отслеживания и <N2>просеивания</N2> данных, поступающих через <N3>сеть</N3>, каждый четвертый служащий просматривает или слушает <N4>межсетевые</N4> новости со своего рабочего места, по крайней мере, раз в неделю. А 18% загружали и хранили <N6>многосредственные</N6> <N5>данные</N5> несвязанные с работой.	A quarter of employees watch or listen to streaming media at least once a week from work, and 18 percent have downloaded and stored nonwork music, photos and video clips, according to a telephone-based survey sponsored by Websense Inc., which makes software that helps companies filter and monitor Internet use.				
TRUE					
					
Защита <L1>диссертация</L1> на соискание степени <L1>диссертация</L1> доктора наук пройдет в <L2>университете</L2> Упсала, в <L3>лекционном</L3> зале 9, в пятницу, 12 <L1>декабря</L1>, 2003, в 10:15.	Dissertation at Uppsala University to be publicly examined in the lecture hall IX, University Hall, Friday, December 12, 2003 at 10:15 for the Degree of Doctor of Philosophy.				
