					
					
Ákvæði þessarar reglugerðar gilda um alla vöruflutninga sem fara fram <L1>milli</L1> staða á yfirráðasvæði aðildarríkis að meðtöldum flutningum milli aðildarríkja og landa utan bandalagsins eða tengdra landa.	The provisions of this Regulation shall apply to all carriage of goods consigned from or to a point within the territory of a Member State, including the carriage thereof between Member States and third or associated countries.				
Ákvæði þessarar reglugerðar gilda um alla vöruflutninga sem fara fram <N1></N1> staða á yfirráðasvæði aðildarríkis að meðtöldum flutningum milli aðildarríkja og landa utan bandalagsins eða tengdra landa.	The provisions of this Regulation shall apply to all carriage of goods consigned from or to a point within the territory of a Member State, including the carriage thereof between Member States and third or associated countries.				
FALSE					
					
Þegar flutningar sem <L1>lúta</L1> ákvæðum eins samnings eru á höndum hvers farmflytjandans á fætur öðrum skal hver farmflytjandi um sig lúta ákvæðum reglugerðar þessarar að því er varðar þann hluta flutninganna sem hann annast.	Where a carriage regulated by the terms of a single contract is performed by successive carriers, each such carrier shall be subject to the provisions of this Regulation in respect of that part of the carriage which he performs.				
Þegar flutningar sem <N1></N1> ákvæðum eins samnings eru á höndum hvers farmflytjandans á fætur öðrum skal hver farmflytjandi um sig lúta ákvæðum reglugerðar þessarar að því er varðar þann hluta flutninganna sem hann annast.	Where a carriage regulated by the terms of a single contract is performed by successive carriers, each such carrier shall be subject to the provisions of this Regulation in respect of that part of the carriage which he performs.				
FALSE					
					
Bann það sem mælt er fyrir um í þessari grein öðlast gildi 1. <L1>júlí</L1> 1961.	The prohibitions laid down in this Article shall take effect from 1 July 1961.				
Bann það sem mælt er fyrir um í þessari grein öðlast gildi 1. <N1></N1> 1961.	The prohibitions laid down in this Article shall take effect from 1 July 1961.				
FALSE					
					
Þó getur framkvæmdastjórnin fyrir þann dag <L1>sett</L1> reglugerð, að höfðu samráði við ráðið, og frestað slíkri gildistöku gagnvart tilteknum flokkum flutninga til 1. <L2>janúar</L2> 1964 hið síðasta.	The Commission may, however, before that date and by a Regulation issued after consulting the Council, postpone for certain classes of transport to be determined later such entry into force until 1 January 1964 at the latest.				
Þó getur framkvæmdastjórnin fyrir þann dag <N1></N1> reglugerð, að höfðu samráði við ráðið, og frestað slíkri gildistöku gagnvart tilteknum flokkum flutninga til 1. <N2></N2> 1964 hið síðasta.	The Commission may, however, before that date and by a Regulation issued after consulting the Council, postpone for certain classes of transport to be determined later such entry into force until 1 January 1964 at the latest.				
FALSE					
					
Þrátt fyrir ákvæði 5. gr. í reglugerð þessari skulu ríkisstjórnir og fyrirtæki, að beiðni framkvæmdastjórnarinnar, <L1>leggja</L1> fram frekari upplýsingar sem þörf kann að vera á um gjaldskrár, formlega samninga eða annað samkomulag um flutningsgjöld og -skilmála.	Without prejudice to Article 5 of this Regulation, Governments and undertakings shall, at the request of the Commission, supply any additional information which may be needed concerning any tariff, or formal or other agreement on transport rates and conditions.	leggja leggja frá sér leggja niður | setja leggja | reka í gegn stinga leggja			
Þrátt fyrir ákvæði 5. gr. í reglugerð þessari skulu ríkisstjórnir og fyrirtæki, að beiðni framkvæmdastjórnarinnar, <N1></N1> fram frekari upplýsingar sem þörf kann að vera á um gjaldskrár, formlega samninga eða annað samkomulag um flutningsgjöld og -skilmála.	Without prejudice to Article 5 of this Regulation, Governments and undertakings shall, at the request of the Commission, supply any additional information which may be needed concerning any tariff, or formal or other agreement on transport rates and conditions.				
FALSE					
					
Fari framkvæmdastjórnin þess á leit við fyrirtæki að það <L1>leggi</L1> fram upplýsingar skal hún þegar í stað tilkynna það ríkisstjórn þess aðildarríkis þar sem fyrirtækið hefur aðsetur með því að senda ríkisstjórninni afrit af beiðninni um upplýsingar.	If the Commission requests an undertaking to supply it with information the Commission shall immediately notify the Government of the Member State in which the undertaking has its seat by forwarding a copy of the request for information to that Government.				
Fari framkvæmdastjórnin þess á leit við fyrirtæki að það <N1></N1> fram upplýsingar skal hún þegar í stað tilkynna það ríkisstjórn þess aðildarríkis þar sem fyrirtækið hefur aðsetur með því að senda ríkisstjórninni afrit af beiðninni um upplýsingar.	If the Commission requests an undertaking to supply it with information the Commission shall immediately notify the Government of the Member State in which the undertaking has its seat by forwarding a copy of the request for information to that Government.				
FALSE					
					
hundraðshluta sem ætti að meginreglu til að vera hinn sami í öllum aðildarríkjum og hækka á tveggja ára fresti frá 31. <L1>desember</L1> 1963 til 31. desember 1969.	Furthermore, the value of public works contracts which nationals and companies or firms of one Member State, established in that State, obtain in other Member States shall, save where there is good reason to the contrary, also be taken into account.				
hundraðshluta sem ætti að meginreglu til að vera hinn sami í öllum aðildarríkjum og hækka á tveggja ára fresti frá 31. <N1></N1> 1963 til 31. desember 1969.	Furthermore, the value of public works contracts which nationals and companies or firms of one Member State, established in that State, obtain in other Member States shall, save where there is good reason to the contrary, also be taken into account.				
FALSE					
					
úr 23Textílframleiðsla 231 Spuni, vefnaður og fullvinnsla <L1>textíla</L1> 232 Prjónavöruframleiðsla 233 Framleiðsla á köðlum, böndum og snæri (veiðarfæraiðnaður) 239 Framleiðsla á <L2>textílum</L2> ótalin annars staðar	| Repair of footwear | Manufacture of wearing apparel, except footwear 244 | Manufacture of made-up textile goods.				
úr 23Textílframleiðsla 231 Spuni, vefnaður og fullvinnsla <N1>vefjarefnis</N1> 232 Prjónavöruframleiðsla 233 Framleiðsla á köðlum, böndum og snæri (veiðarfæraiðnaður) 239 Framleiðsla á <N2>vefjarefni</N2> ótalin annars staðar	| Repair of footwear | Manufacture of wearing apparel, except footwear 244 | Manufacture of made-up textile goods.				
TRUE					
					
úr 33Steinefnaiðnaður, nema vörur úr jarðolíu og kolum 331 Framleiðsla á leirvörum 332 Gleriðnaður og speglagerð 333 Leir- og postulínsiðnaður 334 Framleiðsla <L1>sements</L1> (sem harðnar í vatni) 339 Steinefnaiðnaður ótalinn annars staðar	| Business services not elsewhere classifled ex 84 | | Recreation services				
úr 33Steinefnaiðnaður, nema vörur úr jarðolíu og kolum 331 Framleiðsla á leirvörum 332 Gleriðnaður og speglagerð 333 Leir- og postulínsiðnaður 334 Framleiðsla <N1>steinlíms</N1> (sem harðnar í vatni) 339 Steinefnaiðnaður ótalinn annars staðar	| Business services not elsewhere classifled ex 84 | | Recreation services				
TRUE					
					
úr 20Matvælaiðnaður, nema drykkjarvöruiðnaður 201 Slátrun og kjötiðnaður 202 Mjólkur- og mjólkurvöruiðnaður 203 Niðurlagning og geymsla ávaxta og grænmetis 204 Niðurlagning og geymsla fisks og sjávarafurða 205 Framleiðsla kornmylluafurða 206 Brauð- og kökugerð 207 Sykurverksmiðjur 208 Framleiðsla á kakói, <L1>súkkulaði</L1> og sykurvörum (sælgætisgerð) 209 Ýmiss konar matvælaiðnaður	| | Food manufacturing industries, except beverage industries | 201 | Slaughtering, preparation and preserving of meat | 202 | Manufacture of dairy products				
