					
					
所以 我 哋 努力 解決 呢 <L1>樣</L1> 嘢 可能 新 方法 嘅 最好 證明 就 係 時代廣場	So we worked hard to change that balance, and probably the best example of our new approach is in Times Square.				
所以 我 哋 努力 解決 呢 <N1></N1> 嘢 可能 新 方法 嘅 最好 證明 就 係 時代廣場	So we worked hard to change that balance, and probably the best example of our new approach is in Times Square.				
FALSE					
					
因為 交通 同 公共 空間 之間 再 唔 係 零 <L1>和</L1> 遊戲	And this is an important lesson, because it doesn't need to be a zero-sum game between moving traffic and creating public space.				
因為 交通 同 公共 空間 之間 再 唔 係 零 <N1></N1> 遊戲	And this is an important lesson, because it doesn't need to be a zero-sum game between moving traffic and creating public space.				
FALSE					
					
草坪 凳 於 是 成為 人討 論 嘅 <L1>話</L1> 題	And the lawn chairs became the talk of the town.				
草坪 凳 於 是 成為 人討 論 嘅 <N1></N1> 題	And the lawn chairs became the talk of the town.				
FALSE					
					
我 哋 係 <L1>紐約</L1>   5   個區 總共設立 咗   50   個 新 嘅 行人 專用區	All told, we've created over 50 pedestrian plazas in all five boroughs across the city.				
我 哋 係 <N1></N1>   5   個區 總共設立 咗   50   個 新 嘅 行人 專用區	All told, we've created over 50 pedestrian plazas in all five boroughs across the city.				
FALSE					
					
著到 好似 <L1>忍者</L1> 咁 嘅 單 車 郵 差	In the past, it looked like the guy on the left, ninja-clad bike messenger.				
著到 好似 <N1>间谍</N1> 咁 嘅 單 車 郵 差	In the past, it looked like the guy on the left, ninja-clad bike messenger.				
TRUE					
					
紐約 有 全 北美 最大 亦 係 最慢 嘅 <L1>巴士</L1> 團隊	We've also brought this approach to our buses, and New York City has the largest bus fleet in North America, the slowest bus speeds.	公共汽车 公车 大型客车 大型游览巴士 大客车 巴士 长途公共汽车 长途汽车			
紐約 有 全 北美 最大 亦 係 最慢 嘅 <N1>公共汽车</N1> 團隊	We've also brought this approach to our buses, and New York City has the largest bus fleet in North America, the slowest bus speeds.				
TRUE					
					
當你 伸手 去 攞 嗰 一 塊 <L1>朱古力</L1>	The kind of part of the mind when you're reaching for that piece of chocolate, when you want to win that promotion at work.	巧克力 朱古力			
當你 伸手 去 攞 嗰 一 塊 <N1>巧克力</N1>	The kind of part of the mind when you're reaching for that piece of chocolate, when you want to win that promotion at work.				
TRUE					
					
我地 依家 知道 想像力 同長 期規劃 能力 嘅 大 腦 <L1>電 路</L1> 系 統	We now know the brain circuitry of imagination, of long-term planning.	小径 小道 旅程 线 航线 行程 路 路径 路线 轨道 途径 道路 | 路 路径 路线 轨道 途径 道路 | 公路 路 路径 路线 道路 马路 | 生活方式 路 路线 路途 轨道 途径 道路			
我地 依家 知道 想像力 同長 期規劃 能力 嘅 大 腦 電 <N1>电力线路</N1> 系 統	We now know the brain circuitry of imagination, of long-term planning.				
TRUE					
					
第二 個 係 <L1>世界</L1> 人口 老齡化	The first one being women moving into the job market, the second one being the aging world population.	万物 世界 太空 宇宙 | 世界 地球 | 世界 个人生活的全部 现实			
第二 個 係 <N1></N1> 人口 老齡化	The first one being women moving into the job market, the second one being the aging world population.				
FALSE					
					
對 另 一個 人 嘅 <L1>浪漫</L1> 愛意	In fact, you can lie in bed at night and swing from deep feelings of attachment for one person to deep feelings of romantic love for somebody else.				
對 另 一個 人 嘅 <N1>诗意</N1> 愛意	In fact, you can lie in bed at night and swing from deep feelings of attachment for one person to deep feelings of romantic love for somebody else.				
TRUE					
					
我 係 肯塔基 籃球 隊 嘅 球迷 上年 三月 某 一日 我 做 緊 我 平日 最鍾意 做 嘅 事 到 場 為 我 最 愛 嘅 山 <L1>貓</L1> 隊 加油	I am a Kentucky basketball fan, so on a fine March day last year, I was doing one of the things I do best: I was cheering for my Wildcats.				
我 係 肯塔基 籃球 隊 嘅 球迷 上年 三月 某 一日 我 做 緊 我 平日 最鍾意 做 嘅 事 到 場 為 我 最 愛 嘅 山 <N1></N1> 隊 加油	I am a Kentucky basketball fan, so on a fine March day last year, I was doing one of the things I do best: I was cheering for my Wildcats.				
FALSE					
					
我 試過 同 佢 哋 接 <L1>觸</L1>	I've tried engaging people.				
我 試過 同 佢 哋 接 <N1></N1>	I've tried engaging people.				
FALSE					
					
即使 我 一個 自稱 <L1>女權 主義</L1> 者 嘅 人 內 心 都 接受 咗 <L1>男權 主義</L1>	Because even I, an avowed, self-declared feminist, who worships at the altar of Gloria — (Laughter) internalize the patriarchy.				
即使 我 一個 自稱 <N1>母权制</N1> 者 嘅 人 內 心 都 接受 咗 <N1>父权制</N1>	Because even I, an avowed, self-declared feminist, who worships at the altar of Gloria — (Laughter) internalize the patriarchy.				
TRUE					
					
女性 嘅 身心健康 亦 因此 被 嚴重 損害 出現 同 遇到 暴力 時一 樣 嘅 生理 <L1>反應</L1>	Our mental health, our emotional well-being are so gravely affected because the threat of violence is experienced neurobiologically as violence.				
女性 嘅 身心健康 亦 因此 被 嚴重 損害 出現 同 遇到 暴力 時一 樣 嘅 生理 <N1></N1>	Our mental health, our emotional well-being are so gravely affected because the threat of violence is experienced neurobiologically as violence.				
FALSE					
					
我仲請 人 幫 我 刪 除網 路 嘅 惡 意 評 論 <L1>令</L1> 我 耳根 清淨 唔 使 <L2>受</L2> 惡意 評論 影響	I actually pay someone to scrub my social media feeds, attempting to spare my brain the daily iterations of the trauma of hate speech.	受 容忍 忍受 忍耐			
我仲請 人 幫 我 刪 除網 路 嘅 惡 意 評 論 <N1></N1> 我 耳根 清淨 唔 使 <N2></N2> 惡意 評論 影響	I actually pay someone to scrub my social media feeds, attempting to spare my brain the daily iterations of the trauma of hate speech.				
FALSE					
					
因為 關乎 女性 嘅 <L1>尊</L1> 嚴 同 尊重 所以 職場 性別 歧視 必須 停止	Said with dignity and respect, the sexism in your workplaces must end.				
因為 關乎 女性 嘅 <N1></N1> 嚴 同 尊重 所以 職場 性別 歧視 必須 停止	Said with dignity and respect, the sexism in your workplaces must end.				
FALSE					
					
佢 係 <L1>羅</L1> 兵 咸永道 會計師 事務 所 主席 係 佢 叫 我 喺 演 講 入 面 講 返 呢 件 事 出 嚟	That quote was said by a white man, Robert Moritz, chairperson, PricewaterhouseCoopers, he asked me to include it in my talk.				
佢 係 <N1></N1> 兵 咸永道 會計師 事務 所 主席 係 佢 叫 我 喺 演 講 入 面 講 返 呢 件 事 出 嚟	That quote was said by a white man, Robert Moritz, chairperson, PricewaterhouseCoopers, he asked me to include it in my talk.				
FALSE					
					
佢 哋 會 隱 <L1>藏</L1> 喺 紅 色 熒 光 嘅 藻 類 入 面	They would blend right into the algae, which would also fluoresce red, but they've got great vision, and they go through this long mating ritual, and perhaps they're using it in that effect.	藏 躲藏 隐匿 隐藏 | 藏 隐匿 隐藏 | 藏 躲 躲藏 隐藏			
佢 哋 會 隱 <N1></N1> 喺 紅 色 熒 光 嘅 藻 類 入 面	They would blend right into the algae, which would also fluoresce red, but they've got great vision, and they go through this long mating ritual, and perhaps they're using it in that effect.				
FALSE					
					
<L1>奧巴馬</L1> 總統 應承過 保護 泄密者	President Obama ran on a promise to protect whistleblowers, and instead, his Justice Department has prosecuted more than all other administrations combined.				
<N1></N1> 總統 應承過 保護 泄密者	President Obama ran on a promise to protect whistleblowers, and instead, his Justice Department has prosecuted more than all other administrations combined.				
FALSE					
					
不過 世界各地 嘅 政府 時時 刻刻 都 開發 新 嘅 監 視 技 <L1>術</L1>	Unfortunately, governments all over the world are constantly developing new spying techniques that put us all at risk.				
不過 世界各地 嘅 政府 時時 刻刻 都 開發 新 嘅 監 視 技 <N1></N1>	Unfortunately, governments all over the world are constantly developing new spying techniques that put us all at risk.				
FALSE					
					
我 之前 喺 <L1>夏威夷</L1> 嘅 時 候	Now, at some point I was in Hawaii — I like to hike and surf and do all that weird stuff, and I was making a collage for my ma.				
我 之前 喺 <N1></N1> 嘅 時 候	Now, at some point I was in Hawaii — I like to hike and surf and do all that weird stuff, and I was making a collage for my ma.				
FALSE					
					
佢 哋 會 由 <L1>表象</L1> 世界	They go from the representational world, to this analog-mesh underworld, where they're hiding.				
佢 哋 會 由 <N1></N1> 世界	They go from the representational world, to this analog-mesh underworld, where they're hiding.				
FALSE					
					
每個 人形 都 紀錄 住 我 哋 嘅 <L1>文化</L1>	Each one is an archive of our culture, through our ripped-up media and matter, whether it's encyclopedias or dictionaries or magazines.				
每個 人形 都 紀錄 住 我 哋 嘅 <N1></N1>	Each one is an archive of our culture, through our ripped-up media and matter, whether it's encyclopedias or dictionaries or magazines.				
FALSE					
					
呢 個 人形 嘅 身 體 斷 <L1>開</L1> 兩 截	That's a body getting split in half.				
呢 個 人形 嘅 身 體 斷 <N1></N1> 兩 截	That's a body getting split in half.				
FALSE					
					
但 需要 佢 哋 傳 <L1>粉</L1> 嘅 農 作物 數量 一直 增加 緊	Bees have been dying over the last 50 years, and we're planting more crops that need them.	粉 粉末 细粉			
但 需要 佢 哋 傳 <N1></N1> 嘅 農 作物 數量 一直 增加 緊	Bees have been dying over the last 50 years, and we're planting more crops that need them.				
FALSE					
					
好多 時協助監 <L1>聽</L1> 嘅 工作 係 靠 人手	For much of this time, this assistance was manual.				
好多 時協助監 <N1></N1> 嘅 工作 係 靠 人手	For much of this time, this assistance was manual.				
FALSE					
					
<L1>電話</L1> 公司 喺 佢 哋 網 路 嘅 核心 地方 設置 咗 監聽 功能	The telephone companies built surveillance features into the very core of their networks.				
<N1>電話</N1> 公司 喺 佢 哋 網 路 嘅 核心 地方 設置 咗 監聽 功能	The telephone companies built surveillance features into the very core of their networks.				
TRUE					
					
冇 <L1>錯</L1>	And really, this gets to the very problem with these surveillance features, or backdoors.				
冇 <N1></N1>	And really, this gets to the very problem with these surveillance features, or backdoors.				
FALSE					
					
呢種 逐步 改良 嘅 方法 最 終會令 你 整到 一個 好 嘅 <L1>引擎</L1>	Now, this idea of marginal gains will eventually get you a good jet engine.	发动机 引擎 电动机 马达 | 发动机 引擎 马达			
呢種 逐步 改良 嘅 方法 最 終會令 你 整到 一個 好 嘅 <N1>发动机</N1>	Now, this idea of marginal gains will eventually get you a good jet engine.				
TRUE					
					
