					
					
关于 应用 空间 技术 预防 <L1>和</L1> 对抗 自然灾害 讲习班 报告	APPLICATIONS OF SPACE TECHNIQUES TO PREVENT AND COMBAT NATURAL DISASTERS, ORGANIZED IN COOPERATION				
关于 应用 空间 技术 预防 <N1></N1> 对抗 自然灾害 讲习班 报告	APPLICATIONS OF SPACE TECHNIQUES TO PREVENT AND COMBAT NATURAL DISASTERS, ORGANIZED IN COOPERATION				
FALSE					
					
驳回 对 92 年 4 月 22 日 <L1>巴黎</L1> 上诉 法院 判决 的 上诉 的 判决	Decision dismissing the appeal on points of law brought against the decision of the Court of Appeal of Paris of 22 April 1992				
驳回 对 92 年 4 月 22 日 <N1></N1> 上诉 法院 判决 的 上诉 的 判决	Decision dismissing the appeal on points of law brought against the decision of the Court of Appeal of Paris of 22 April 1992				
FALSE					
					
9 . 又 欢迎 原子能 机构 采取 了 措施 支援 为 预防 非法 贩运 核 材料 和 其他 辐射源 所作 的 努力 , 在 这方面 吁请 其他 国家 加入 1996 年 4 月 <L1>莫斯科</L1> 核 安全 和 保障 问题 首脑会议 议定 的 预防 和 打击 非法 贩运 核 材料 方案 ;	9. Also welcomes the measures taken by the Agency in support of efforts to prevent illicit trafficking in nuclear materials and other radioactive sources and, in this context, calls upon other States to join the programme for preventing and combating illicit trafficking in nuclear material agreed upon by the participants at the Moscow Nuclear Safety and Security Summit of April 1996;				
9 . 又 欢迎 原子能 机构 采取 了 措施 支援 为 预防 非法 贩运 核 材料 和 其他 辐射源 所作 的 努力 , 在 这方面 吁请 其他 国家 加入 1996 年 4 月 <N1></N1> 核 安全 和 保障 问题 首脑会议 议定 的 预防 和 打击 非法 贩运 核 材料 方案 ;	9. Also welcomes the measures taken by the Agency in support of efforts to prevent illicit trafficking in nuclear materials and other radioactive sources and, in this context, calls upon other States to join the programme for preventing and combating illicit trafficking in nuclear material agreed upon by the participants at the Moscow Nuclear Safety and Security Summit of April 1996;				
FALSE					
					
9 . 表示 关注 这些 部队 要 对 根据 部队 地位 协定 本应 免费 提供 的 物品 <L1>支付</L1> 费用 ;	9. Expresses its concern about the payment by the combined Forces of charges for items that should have been provided without cost under the status-of-forces agreements;	付款 支付 | 付出款 支付 支出额 | 支付 结算 | 付 付款 付给 支付 纳 给钱 | 支付 结清 结算 | 支付 支出			
9 . 表示 关注 这些 部队 要 对 根据 部队 地位 协定 本应 免费 提供 的 物品 <N1></N1> 费用 ;	9. Expresses its concern about the payment by the combined Forces of charges for items that should have been provided without cost under the status-of-forces agreements;				
FALSE					
					
